Canal,Dispositivo,Descricao,Temp_Range,Simplex_Range,Media,Atual_Simplex,Atual_Perc,Pico_Simplex,Pico_Perc,Status,Tipo,Atual_Temp,Pico_Temp
M4,75,N2-L24-075-DF-DESEMBARQUE INTER-1P-PN,,138,70,70,0%,71,0%,NOR,DF,,
M4,76,N2-L24-076-DF-DESEMBARQUE INTER-1P-PN,,144,76,76,0%,80,4%,NOR,DF,,
M4,77,N2-L24-077-DF-DESEMBARQUE INTER-1P-PN,,130,62,63,0%,93,40%,NOR,DF,,
M4,78,N2-L24-078-DF-DESEMBARQUE INTER-1P-PN,,140,72,72,0%,72,0%,NOR,DF,,
M4,80,N2-L24-080-DF-DESEMBARQUE INTER-1P-PN,,140,72,72,0%,73,0%,NOR,DF,,
M4,81,N2-L24-081-DF-DESEMBARQUE INTER-1P-PN,,132,64,64,0%,65,0%,NOR,DF,,
M4,82,N2-L24-082-DF-DESEMBARQUE INTER-1P-PN,,141,73,74,0%,74,0%,NOR,DF,,
M4,85,N2-L24-085-DF-DESEMBARQUE INTER-1P-PN,,133,65,65,0%,65,0%,NOR,DF,,
M4,86,N2-L24-086-DF-DESEMBARQUE INTER-1P-PN,,139,71,71,0%,76,4%,NOR,DF,,
M4,87,N2-L24-087-DF-COR EMBARQUE DOMEST-1P-,,145,77,77,0%,81,0%,NOR,DF,,
M4,88,N2-L24-088-DF-COR EMBARQUE DOMEST-1P-,,142,74,75,0%,78,0%,NOR,DF,,
M4,89,N2-L24-089-DF-COR EMBARQUE DOMEST-1P-,,141,73,73,0%,77,0%,NOR,DF,,
M4,92,N2-L24-092-DF-COR EMBARQUE DOMEST-1P-,,142,74,74,0%,80,4%,NOR,DF,,
M4,93,N2-L24-093-DF-VESTIARIO MASC-TE-PN,,146,78,78,0%,79,0%,NOR,DF,,
M4,94,N2-L24-094-DF-BANHEIRO MASC-TE-PN,,151,83,83,0%,84,0%,NOR,DF,,
M4,95,N2-L24-095-DF-PNE MASCULINO-TE-PN,,145,77,77,0%,79,0%,NOR,DF,,
M4,97,N2-L24-097-DF-PNE FEMENINO-TE-PN,,141,73,74,0%,75,0%,NOR,DF,,
M4,98,N2-L24-098-DF-BANHEIRO FEMIN-TE-PN,,141,73,74,0%,75,0%,NOR,DF,,
M4,99,N2-L24-099-DF-VESTIARIO FEMININ-TE-PN,,139,71,71,0%,76,4%,NOR,DF,,
M4,100,N2-L24-100-DF-SALA HVAC-SM103-TE-PN,,132,64,66,0%,69,4%,NOR,DF,,
M4,102,N2-L24-102-DF-VESTIARIO MASCULINO-TE-,,138,70,71,0%,76,4%,NOR,DF,,
M4,103,N2-L24-103-DF-BANHEIRO MASCULINO-TE-P,,145,77,78,0%,81,0%,NOR,DF,,
M4,104,N2-L24-104-DF-PNE MASCULINO-TE-PN,,134,66,67,0%,0,0%,NOR,DF,,
M4,105,N2-L24-105-DF-PNE FEMENINO-TE-PN,,144,76,76,0%,76,0%,NOR,DF,,
M4,106,N2-L24-106-DF-PNE FEMENINO-TE-PN,,142,74,72,0%,83,16%,NOR,DF,,
M4,107,N2-L24-107-DF-VESTIARIO FEMININ-TE-PN,,140,72,75,4%,75,0%,NOR,DF,,
M4,108,N2-L24-108-DF-DEPOSITO 114-1P-CN,,150,82,83,0%,89,8%,NOR,DF,,
M4,109,N2-L24-109-DF-ANTISALA BANH-1P-CN,,140,72,72,0%,78,4%,NOR,DF,,
M4,110,N2-L24-110-DF-ANTISALA BANH-1P-CN,,137,69,70,0%,74,4%,NOR,DF,,
M4,111,N2-L24-111-DF-WC PNE MASC -1P-CN,,141,73,73,0%,107,44%,NOR,DF,,
M4,112,N2-L24-112-DF- FRAUDRIO DES INTER-1P,,145,77,77,0%,81,0%,NOR,DF,,
M4,113,N2-L24-113-DF-FRAUDRIO DES INTER -1P,,136,68,68,0%,71,0%,NOR,DF,,
